Question,LLM,Type,Iteration,Readability&Style,Correctness,Efficiency,Simplicity,Error Handling,Example , IO
Q2,GPT4,NCH,1,9,9,9,9,7,9,9
Q2,GPT4,NCH,2,10,10,8,10,8,10,10
Q2,GPT4,NCH,3,9,9,9,9,7,9,9
Q2,GPT4,NCH,4,9,10,9,9,8,10,9
Q2,GPT4,NCH,5,9,9,8,9,7,9,8
Q2,GPT4,NCH,6,9,10,7,8,7,8,8
Q2,GPT4,NCH,7,10,10,9,10,8,10,10
Q2,GPT4,NCH,8,9,9,9,9,9,9,10
Q2,GPT4,NCH,9,9,9,9,9,7,9,9
Q2,GPT4,NCH,10,9,9,9,9,9,9,9
Q2,GPT4,SCH,1,9,10,9,10,8,10,10
Q2,GPT4,SCH,2,9,10,9,10,7,10,10
Q2,GPT4,SCH,3,9,10,9,10,8,9,9
Q2,GPT4,SCH,4,8,10,8,9,7,9,9
Q2,GPT4,SCH,5,9,10,9,10,8,9,9
Q2,GPT4,SCH,6,9,9,9,9,9,9,9
Q2,GPT4,SCH,7,9,10,8,9,7,9,9
Q2,GPT4,SCH,8,9,10,10,10,9,9,9
Q2,GPT4,SCH,9,9,10,9,10,9,9,9
Q2,GPT4,SCH,10,8,9,8,9,8,9,9
Q2,PaLM2,NCH,1,9,9,9,10,8,9,10
Q2,PaLM2,NCH,2,10,10,8,10,8,10,10
Q2,PaLM2,NCH,3,9,9,9,9,9,9,9
Q2,PaLM2,NCH,4,8,10,8,9,7,9,9
Q2,PaLM2,NCH,5,9,9,8,9,7,9,8
Q2,PaLM2,NCH,6,9,10,9,9,8,9,9
Q2,PaLM2,NCH,7,10,10,9,9,7,9,9
Q2,PaLM2,NCH,8,9,9,9,9,8,9,9
Q2,PaLM2,NCH,9,10,10,9,10,7,9,10
Q2,PaLM2,NCH,10,9,9,8,9,7,9,9
Q2,PaLM2,SCH,1,10,10,9,10,8,10,10
Q2,PaLM2,SCH,2,10,10,9,10,7,10,10
Q2,PaLM2,SCH,3,10,10,10,10,8,10,10
Q2,PaLM2,SCH,4,10,10,9,10,7,9,9
Q2,PaLM2,SCH,5,9,10,9,9,8,9,9
Q2,PaLM2,SCH,6,9,9,9,9,9,9,9
Q2,PaLM2,SCH,7,9,10,9,9,7,9,9
Q2,PaLM2,SCH,8,9,10,10,10,9,10,10
Q2,PaLM2,SCH,9,9,10,9,9,9,9,9
Q2,PaLM2,SCH,10,9,9,9,9,7,9,9
Q2,Llama2,NCH,1,8,8,7,8,6,7,7
Q2,Llama2,NCH,2,8,9,7,8,6,8,9
Q2,Llama2,NCH,3,8,9,8,8,7,9,9
Q2,Llama2,NCH,4,6,5,4,3,3,3,3
Q2,Llama2,NCH,5,8,9,7,8,6,8,8
Q2,Llama2,NCH,6,9,10,8,10,8,9,10
Q2,Llama2,NCH,7,9,9,9,10,7,10,10
Q2,Llama2,NCH,8,9,9,7,8,7,9,9
Q2,Llama2,NCH,9,6,6,8,6,4,6,8
Q2,Llama2,NCH,10,9,9,8,9,7,9,9
Q2,Llama2,SCH,1,8,9,9,8,6,9,9
Q2,Llama2,SCH,2,8,9,8,7,6,9,9
Q2,Llama2,SCH,3,7,7,5,6,6,7,6
Q2,Llama2,SCH,4,8,10,7,7,6,9,8
Q2,Llama2,SCH,5,8,10,9,8,7,9,9
Q2,Llama2,SCH,6,6,6,6,4,5,6,5
Q2,Llama2,SCH,7,9,10,9,9,7,9,9
Q2,Llama2,SCH,8,8,9,8,9,6,9,9
Q2,Llama2,SCH,9,7,9,6,7,7,8,9
Q2,Llama2,SCH,10,6,9,7,6,7,8,8
Q5,GPT4,NCH,1,7,10,10,10,4,8,9
Q5,GPT4,NCH,2,9,9,9,9,4,9,9
Q5,GPT4,NCH,3,10,10,10,10,6,10,10
Q5,GPT4,NCH,4,9,10,9,9,6,10,9
Q5,GPT4,NCH,5,9,10,9,9,6,10,10
Q5,GPT4,NCH,6,9,9,9,9,6,9,9
Q5,GPT4,NCH,7,9,10,9,9,5,10,10
Q5,GPT4,NCH,8,9,10,10,9,5,9,9
Q5,GPT4,NCH,9,9,9,9,9,5,9,9
Q5,GPT4,NCH,10,9,10,10,9,9,10,9
Q5,GPT4,SCH,1,9,10,10,10,5,10,10
Q5,GPT4,SCH,2,10,10,10,10,7,10,10
Q5,GPT4,SCH,3,9,10,10,10,8,10,10
Q5,GPT4,SCH,4,7,8,9,9,7,9,9
Q5,GPT4,SCH,5,7,6,9,9,9,10,10
Q5,GPT4,SCH,6,9,10,10,10,5,10,10
Q5,GPT4,SCH,7,8,10,9,9,10,10,9
Q5,GPT4,SCH,8,9,9,10,9,9,9,9
Q5,GPT4,SCH,9,7,9,9,9,9,9,8
Q5,GPT4,SCH,10,8,10,9,8,9,10,8
Q5,PaLM2,NCH,1,9,10,10,10,5,10,10
Q5,PaLM2,NCH,2,9,7,8,9,3,9,9
Q5,PaLM2,NCH,3,10,10,7,8,6,10,10
Q5,PaLM2,NCH,4,9,10,9,9,6,9,9
Q5,PaLM2,NCH,5,9,8,8,9,6,7,9
Q5,PaLM2,NCH,6,9,9,7,9,5,9,9
Q5,PaLM2,NCH,7,9,10,8,9,4,10,10
Q5,PaLM2,NCH,8,9,8,8,9,5,9,9
Q5,PaLM2,NCH,9,8,7,9,9,5,9,8
Q5,PaLM2,NCH,10,10,10,8,9,5,9,9
Q5,PaLM2,SCH,1,10,5,7,6,5,6,7
Q5,PaLM2,SCH,2,10,8,8,9,5,10,10
Q5,PaLM2,SCH,3,9,7,8,8,6,9,7
Q5,PaLM2,SCH,4,8,4,8,9,5,7,9
Q5,PaLM2,SCH,5,10,6,9,9,7,9,10
Q5,PaLM2,SCH,6,9,8,10,8,6,10,10
Q5,PaLM2,SCH,7,9,5,9,8,4,7,6
Q5,PaLM2,SCH,8,8,8,9,8,5,10,9
Q5,PaLM2,SCH,9,9,6,8,8,5,7,9
Q5,PaLM2,SCH,10,9,7,6,8,5,10,9
Q5,Llama2,NCH,1,5,3,5,7,2,3,4
Q5,Llama2,NCH,2,8,2,2,7,2,2,3
Q5,Llama2,NCH,3,7,5,6,6,5,8,7
Q5,Llama2,NCH,4,7,2,2,3,2,2,4
