Question,LLM,Type,Iteration,Accuracy,Completeness,Relevance,Depth&Details,Clarity,Organization,Conciseness
Q1,GPT4,NCH,1,10,10,10,10,10,10,9
Q1,GPT4,NCH,2,10,9,10,9,10,10,9
Q1,GPT4,NCH,3,10,9,10,9,10,10,9
Q1,GPT4,NCH,4,9,9,10,9,9,9,9
Q1,GPT4,NCH,5,9,10,10,9,10,10,9
Q1,GPT4,NCH,6,10,10,10,9,10,10,9
Q1,GPT4,NCH,7,9,9,10,9,9,10,9
Q1,GPT4,NCH,8,9,9,10,9,9,9,9
Q1,GPT4,NCH,9,9,9,10,9,9,10,9
Q1,GPT4,NCH,10,10,9,10,9,10,10,10
Q1,GPT4,SCH,1,10,9,10,9,9,10,9
Q1,GPT4,SCH,2,10,8,10,8,10,10,10
Q1,GPT4,SCH,3,10,9,10,8,10,10,10
Q1,GPT4,SCH,4,10,8,10,8,10,10,10
Q1,GPT4,SCH,5,10,9,10,8,10,10,9
Q1,GPT4,SCH,6,9,9,10,9,9,10,9
Q1,GPT4,SCH,7,9,9,10,9,9,9,9
Q1,GPT4,SCH,8,10,9,10,9,10,10,10
Q1,GPT4,SCH,9,9,10,10,9,10,10,9
Q1,GPT4,SCH,10,10,10,10,9,10,10,9
Q1,PaLM2,NCH,1,9,8,9,8,9,8,8
Q1,PaLM2,NCH,2,9,8,9,8,9,8,7
Q1,PaLM2,NCH,3,9,8,8,8,8,7,7
Q1,PaLM2,NCH,4,9,9,9,8,9,9,9
Q1,PaLM2,NCH,5,9,10,10,9,10,10,9
Q1,PaLM2,NCH,6,9,9,9,9,9,9,9
Q1,PaLM2,NCH,7,9,8,10,8,9,9,9
Q1,PaLM2,NCH,8,8,8,9,8,9,9,9
Q1,PaLM2,NCH,9,9,9,9,8,9,9,8
Q1,PaLM2,NCH,10,9,9,9,8,9,9,9
Q1,PaLM2,SCH,1,9,8,10,8,9,8,8
Q1,PaLM2,SCH,2,10,10,10,10,10,10,9
Q1,PaLM2,SCH,3,10,9,10,10,9,8,8
Q1,PaLM2,SCH,4,10,9,10,10,9,8,8
Q1,PaLM2,SCH,5,9,9,9,9,8,9,8
Q1,PaLM2,SCH,6,9,9,9,10,8,9,7
Q1,PaLM2,SCH,7,9,9,9,9,8,9,8
Q1,PaLM2,SCH,8,10,10,9,10,9,9,8
Q1,PaLM2,SCH,9,9,9,8,9,8,8,7
Q1,PaLM2,SCH,10,9,10,10,10,9,9,8
Q1,Llama2,NCH,1,10,9,10,9,10,9,9
Q1,Llama2,NCH,2,10,10,10,10,10,10,9
Q1,Llama2,NCH,3,9,9,9,9,9,9,8
Q1,Llama2,NCH,4,9,10,10,9,10,10,9
Q1,Llama2,NCH,5,9,9,9,8,9,9,8
Q1,Llama2,NCH,6,9,9,10,9,9,10,9
Q1,Llama2,NCH,7,9,9,10,9,9,9,9
Q1,Llama2,NCH,8,9,9,9,8,9,9,9
Q1,Llama2,NCH,9,10,10,10,10,10,10,9
Q1,Llama2,NCH,10,9,9,10,9,9,9,9
Q1,Llama2,SCH,1,9,9,10,10,9,9,9
Q1,Llama2,SCH,2,10,10,10,10,10,10,9
Q1,Llama2,SCH,3,10,10,10,9,9,9,9
Q1,Llama2,SCH,4,10,10,10,10,9,9,8
Q1,Llama2,SCH,5,9,9,10,9,9,9,9
Q1,Llama2,SCH,6,9,9,10,9,9,9,8
Q1,Llama2,SCH,7,10,10,10,9,9,9,9
Q1,Llama2,SCH,8,9,10,9,10,9,9,8
Q1,Llama2,SCH,9,10,10,10,9,9,9,8
Q1,Llama2,SCH,10,9,9,9,9,9,9,8
Q4,GPT4,NCH,1,9,8,9,7,9,8,8
Q4,GPT4,NCH,2,9,8,9,8,9,9,9
Q4,GPT4,NCH,3,9,8,10,8,9,10,9
Q4,GPT4,NCH,4,10,9,10,9,10,10,9
Q4,GPT4,NCH,5,9,8,10,8,9,10,9
Q4,GPT4,NCH,6,9,8,9,8,9,10,9
Q4,GPT4,NCH,7,9,8,10,8,9,9,9
Q4,GPT4,NCH,8,9,10,10,9,10,10,9
Q4,GPT4,NCH,9,9,9,10,8,9,9,9
Q4,GPT4,NCH,10,9,9,10,9,10,10,9
Q4,GPT4,SCH,1,9,8,9,7,9,8,7
Q4,GPT4,SCH,2,9,8,9,8,9,10,9
Q4,GPT4,SCH,3,9,10,10,9,10,10,9
Q4,GPT4,SCH,4,9,10,10,9,10,10,10
Q4,GPT4,SCH,5,10,9,10,9,10,10,9
Q4,GPT4,SCH,6,9,9,10,8,10,9,9
Q4,GPT4,SCH,7,10,9,10,9,10,10,9
Q4,GPT4,SCH,8,10,9,10,9,10,10,9
Q4,GPT4,SCH,9,10,9,10,9,10,10,9
Q4,GPT4,SCH,10,10,9,10,9,10,10,9
Q4,PaLM2,NCH,1,9,8,10,8,9,9,9
Q4,PaLM2,NCH,2,8,8,10,7,9,8,7
Q4,PaLM2,NCH,3,9,9,10,8,10,9,9
Q4,PaLM2,NCH,4,9,9,10,8,9,10,9
Q4,PaLM2,NCH,5,8,8,9,7,9,10,9
Q4,PaLM2,NCH,6,8,8,9,7,9,8,8
Q4,PaLM2,NCH,7,9,8,9,8,9,9,9
Q4,PaLM2,NCH,8,9,9,9,8,9,9,9
Q4,PaLM2,NCH,9,9,9,10,9,9,9,8
Q4,PaLM2,NCH,10,8,8,9,7,9,9,9
Q4,PaLM2,SCH,1,8,8,10,7,9,9,9
Q4,PaLM2,SCH,2,9,8,9,8,9,9,9
Q4,PaLM2,SCH,3,9,9,10,8,9,9,8
Q4,PaLM2,SCH,4,9,9,10,9,9,9,8
Q4,PaLM2,SCH,5,10,9,10,9,10,10,9
Q4,PaLM2,SCH,6,9,9,9,8,9,9,8
Q4,PaLM2,SCH,7,10,10,10,9,9,9,9
Q4,PaLM2,SCH,8,10,9,10,9,9,9,8
Q4,PaLM2,SCH,9,10,9,10,9,10,10,9
Q4,PaLM2,SCH,10,10,9,10,9,10,10,9
Q4,Llama2,NCH,1,9,9,10,9,9,10,9
Q4,Llama2,NCH,2,9,9,9,9,8,9,8
Q4,Llama2,NCH,3,9,9,9,8,9,9,8
Q4,Llama2,NCH,4,8,9,7,9,8,7,6
Q4,Llama2,NCH,5,8,9,9,9,8,9,8
Q4,Llama2,NCH,6,7,7,9,7,8,8,8
Q4,Llama2,NCH,7,9,10,9,10,8,9,7
Q4,Llama2,NCH,8,8,9,9,8,8,8,7
Q4,Llama2,NCH,9,7,8,9,8,8,8,8
Q4,Llama2,NCH,10,7,9,8,8,8,8,7
Q4,Llama2,SCH,1,8,9,8,9,7,8,8
Q4,Llama2,SCH,2,8,8,9,8,9,8,8
Q4,Llama2,SCH,3,9,8,9,8,9,9,8
Q4,Llama2,SCH,4,9,9,10,9,9,9,9
Q4,Llama2,SCH,5,8,9,8,9,9,8,7
Q4,Llama2,SCH,6,9,9,8,8,9,9,9
Q4,Llama2,SCH,7,10,10,10,10,9,9,9
Q4,Llama2,SCH,8,9,9,9,9,9,9,8
Q4,Llama2,SCH,9,9,8,10,8,9,9,9
Q4,Llama2,SCH,10,10,10,10,10,10,10,9
Q7,GPT4,NCH,1,9,8,9,8,9,9,9
Q7,GPT4,NCH,2,9,8,9,8,9,9,9
Q7,GPT4,NCH,3,8,8,9,7,9,9,9
Q7,GPT4,NCH,4,9,8,9,8,9,9,9
Q7,GPT4,NCH,5,9,8,9,8,9,9,8
Q7,GPT4,NCH,6,8,8,10,7,9,9,8
Q7,GPT4,NCH,7,9,8,9,8,9,9,9
Q7,GPT4,NCH,8,9,8,10,8,9,9,8
Q7,GPT4,NCH,9,9,9,9,9,9,10,9
Q7,GPT4,NCH,10,9,8,9,8,9,9,9
Q7,GPT4,SCH,1,9,9,10,8,9,10,8
Q7,GPT4,SCH,2,9,9,10,8,9,9,8
Q7,GPT4,SCH,3,9,8,10,8,9,9,9
Q7,GPT4,SCH,4,9,9,10,8,9,9,9
Q7,GPT4,SCH,5,9,8,9,8,9,9,8
Q7,GPT4,SCH,6,9,8,9,7,9,9,8
Q7,GPT4,SCH,7,9,9,9,8,9,9,8
Q7,GPT4,SCH,8,9,8,9,8,9,9,8
Q7,GPT4,SCH,9,9,9,10,8,9,10,9
Q7,GPT4,SCH,10,9,9,9,8,9,9,9
Q7,PaLM2,NCH,1,8,7,8,7,8,7,8
Q7,PaLM2,NCH,2,1,1,1,1,1,1,1
Q7,PaLM2,NCH,3,9,8,9,8,8,9,8
Q7,PaLM2,NCH,4,8,8,9,8,8,9,9
Q7,PaLM2,NCH,5,8,8,9,7,9,9,8
Q7,PaLM2,NCH,6,8,7,8,7,8,7,8
Q7,PaLM2,NCH,7,8,7,9,7,8,8,8
Q7,PaLM2,NCH,8,8,8,9,7,9,8,7
Q7,PaLM2,NCH,9,8,7,8,7,8,8,8
Q7,PaLM2,NCH,10,8,8,8,7,7,7,7
Q7,PaLM2,SCH,1,8,7,8,8,8,7,6
Q7,PaLM2,SCH,2,7,6,9,6,7,6,6
Q7,PaLM2,SCH,3,7,7,7,6,7,6,6
Q7,PaLM2,SCH,4,7,8,8,7,6,6,6
Q7,PaLM2,SCH,5,8,7,7,7,6,6,5
Q7,PaLM2,SCH,6,7,6,7,6,6,6,5
Q7,PaLM2,SCH,7,7,7,7,6,7,6,5
Q7,PaLM2,SCH,8,8,8,8,7,7,7,6
Q7,PaLM2,SCH,9,7,7,7,6,7,6,5
Q7,PaLM2,SCH,10,8,7,8,7,7,6,6
Q7,Llama2,NCH,1,7,8,7,8,8,8,7
Q7,Llama2,NCH,2,8,8,9,8,8,8,9
Q7,Llama2,NCH,3,8,8,9,8,7,7,7
Q7,Llama2,NCH,4,9,8,10,8,9,9,8
Q7,Llama2,NCH,5,7,7,9,7,9,8,7
Q7,Llama2,NCH,6,9,9,9,9,9,9,7
Q7,Llama2,NCH,7,7,7,8,7,7,8,7
Q7,Llama2,NCH,8,8,8,9,8,8,9,8
Q7,Llama2,NCH,9,8,9,8,9,8,8,7
Q7,Llama2,NCH,10,9,9,9,8,8,8,8
Q7,Llama2,SCH,1,9,9,9,9,8,8,8
Q7,Llama2,SCH,2,9,8,10,9,9,9,8
Q7,Llama2,SCH,3,7,7,8,7,8,7,7
Q7,Llama2,SCH,4,9,8,9,8,8,8,8
