Question,LLM,Type,Iteration,LLM answer,Score
Q1,GPT4,NCH,1,25,1
Q1,GPT4,NCH,2,25,1
Q1,GPT4,NCH,3,33,0
Q1,GPT4,NCH,4,25,1
Q1,GPT4,NCH,5,33,0
Q1,GPT4,NCH,6,33,0
Q1,GPT4,NCH,7,33,0
Q1,GPT4,NCH,8,25,1
Q1,GPT4,NCH,9,25,1
Q1,GPT4,NCH,10,25,1
Q1,GPT4,SCH,1,25,1
Q1,GPT4,SCH,2,33,0
Q1,GPT4,SCH,3,25,1
Q1,GPT4,SCH,4,25,1
Q1,GPT4,SCH,5,25,1
Q1,GPT4,SCH,6,25,1
Q1,GPT4,SCH,7,25,1
Q1,GPT4,SCH,8,25,1
Q1,GPT4,SCH,9,25,1
Q1,GPT4,SCH,10,25,1
Q1,PaLM2,NCH,1,25,1
Q1,PaLM2,NCH,2,25,1
Q1,PaLM2,NCH,3,25,1
Q1,PaLM2,NCH,4,25,1
Q1,PaLM2,NCH,5,25,1
Q1,PaLM2,NCH,6,25,1
Q1,PaLM2,NCH,7,25,1
Q1,PaLM2,NCH,8,25,1
Q1,PaLM2,NCH,9,25,1
Q1,PaLM2,NCH,10,25,1
Q1,PaLM2,SCH,1,25,1
Q1,PaLM2,SCH,2,25,1
Q1,PaLM2,SCH,3,25,1
Q1,PaLM2,SCH,4,25,1
Q1,PaLM2,SCH,5,25,1
Q1,PaLM2,SCH,6,25,1
Q1,PaLM2,SCH,7,25,1
Q1,PaLM2,SCH,8,25,1
Q1,PaLM2,SCH,9,25,1
Q1,PaLM2,SCH,10,25,1
Q1,Llama2,NCH,1,100,0
Q1,Llama2,NCH,2,23.2,0
Q1,Llama2,NCH,3,23.3,0
Q1,Llama2,NCH,4,10,0
Q1,Llama2,NCH,5,41.7,0
Q1,Llama2,NCH,6,42,0
Q1,Llama2,NCH,7,44,0
Q1,Llama2,NCH,8,44,0
Q1,Llama2,NCH,9,33,0
Q1,Llama2,NCH,10,33,0
Q1,Llama2,SCH,1,50,0
Q1,Llama2,SCH,2,33,0
