Task Number,Task Description,Abstract
Response SCH1,"In the 1987 paper ""The Neighbor-joining Method: A New Method for Reconstructing Phylogenetic Trees,"" Nei and Saitou propose a new method for constructing phylogenetic trees from evolutionary distance data. The method is based on the principle of minimizing the total branch length at each stage of clustering of operational taxonomic units (OTUs). The authors compare the neighbor-joining method to five other tree-making methods and find that it is generally more accurate and efficient.","A new method called the neighbor-joining method is proposed for reconstructing phylogenetic trees from evolutionary distance data. The principle of this method is to find pairs of operational taxonomic units (OTUs [= neighbors]) that minimize the total branch length at each stage of clustering of OTUs starting with a starlike tree. The branch lengths as well as the topology of a parsimonious tree can quickly be obtained by using this method. Using computer simulation, we studied the efficiency of this method in obtaining the correct unrooted tree in comparison with that of five other tree-making methods: the unweighted pair group method of analysis, Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. The new, neighbor-joining method and Sattath and Tversky's method are shown to be generally better than the other methods."
Response SCH2,"Sure, here is a summary of the article ""The Neighbor-joining Method: A New Method for Reconstructing Phylogenetic Trees"" by Nei and Saitou (1987):
Nei and Saitou (1987) proposed a new method called the neighbor-joining method for reconstructing phylogenetic trees from evolutionary distance data. The method works by identifying pairs of operational taxonomic units (OTUs) that are closest to each other and merging them into a single cluster. This process is repeated until all OTUs have been merged into a single tree. The neighbor-joining method is efficient and produces trees that are generally accurate.
The authors compared the neighbor-joining method to five other tree-making methods: the unweighted pair group method of analysis (UPGMA), Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. They found that the neighbor-joining method was generally more accurate and efficient than the other methods.
In conclusion, the neighbor-joining method is a valuable tool for reconstructing phylogenetic trees from evolutionary distance data. It is efficient, accurate, and easy to implement.","A new method called the neighbor-joining method is proposed for reconstructing phylogenetic trees from evolutionary distance data. The principle of this method is to find pairs of operational taxonomic units (OTUs [= neighbors]) that minimize the total branch length at each stage of clustering of OTUs starting with a starlike tree. The branch lengths as well as the topology of a parsimonious tree can quickly be obtained by using this method. Using computer simulation, we studied the efficiency of this method in obtaining the correct unrooted tree in comparison with that of five other tree-making methods: the unweighted pair group method of analysis, Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. The new, neighbor-joining method and Sattath and Tversky's method are shown to be generally better than the other methods."
Response SCH3,"In the 1987 paper ""The Neighbor-joining Method: A New Method for Reconstructing Phylogenetic Trees,"" Nei and Saitou propose a new method for constructing phylogenetic trees from evolutionary distance data. The method is based on the principle of minimizing the total branch length at each stage of clustering of operational taxonomic units (OTUs). The authors compare the neighbor-joining method to five other tree-making methods and find that it is generally more accurate and efficient.
The Neighbor-joining Algorithm
The neighbor-joining algorithm is a bottom-up (agglomerative) clustering method that starts with a star-shaped tree, in which each OTU is connected to a central node. The algorithm then iteratively merges the two OTUs that are closest to each other, until all OTUs have been merged into a single tree. The branch lengths between the OTUs are calculated based on the distances between the OTUs in the distance matrix.
 Opens in a new window
microbenotes.com
phylogenetic tree, in which the OTUs are connected by branches of different lengths
Advantages of the Neighbor-joining Method
The neighbor-joining method has several advantages over other tree-making methods:
It is efficient and can be used to construct trees from large datasets.

It is relatively robust to errors in the distance matrix.

It is easy to implement and there are many software packages available that can implement the algorithm.

Disadvantages of the Neighbor-joining Method
The neighbor-joining method also has some disadvantages:
It is a greedy algorithm, which means that it may not always find the optimal tree.

It is not guaranteed to produce accurate trees if the evolutionary distances between the OTUs are not reliable.

It does not take into account the uncertainty in the evolutionary distances between the OTUs.

Overall, the neighbor-joining method is a valuable tool for reconstructing phylogenetic trees from evolutionary distance data. It is efficient, accurate, and easy to implement. However, it is important to be aware of the limitations of the method and to use it with caution.
I hope this summary is helpful. Please let me know if you have any other questions.","A new method called the neighbor-joining method is proposed for reconstructing phylogenetic trees from evolutionary distance data. The principle of this method is to find pairs of operational taxonomic units (OTUs [= neighbors]) that minimize the total branch length at each stage of clustering of OTUs starting with a starlike tree. The branch lengths as well as the topology of a parsimonious tree can quickly be obtained by using this method. Using computer simulation, we studied the efficiency of this method in obtaining the correct unrooted tree in comparison with that of five other tree-making methods: the unweighted pair group method of analysis, Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. The new, neighbor-joining method and Sattath and Tversky's method are shown to be generally better than the other methods."
Response SCH4,"In the 1987 paper ""The Neighbor-joining Method: A New Method for Reconstructing Phylogenetic Trees,"" Nei and Saitou propose a new method for constructing phylogenetic trees from evolutionary distance data. The method is based on the principle of minimizing the total branch length at each stage of clustering of operational taxonomic units (OTUs). The authors compare the neighbor-joining method to five other tree-making methods and find that it is generally more accurate and efficient.
The Neighbor-joining Method
The neighbor-joining method is a bottom-up (agglomerative) clustering method that starts with a star-shaped tree, in which each OTU is connected to a central node. The algorithm then iteratively merges the two OTUs that are closest to each other, until all OTUs have been merged into a single tree. The branch lengths between the OTUs are calculated based on the distances between the OTUs in the distance matrix.
 Opens in a new window
microbenotes.com
phylogenetic tree, in which the OTUs are connected by branches of different lengths
Advantages of the Neighbor-joining Method
The neighbor-joining method has several advantages over other tree-making methods:
It is efficient and can be used to construct trees from large datasets.

It is relatively robust to errors in the distance matrix.

It is easy to implement and there are many software packages available that can implement the algorithm.

Disadvantages of the Neighbor-joining Method
The neighbor-joining method also has some disadvantages:
It is a greedy algorithm, which means that it may not always find the optimal tree.

It is not guaranteed to produce accurate trees if the evolutionary distances between the OTUs are not reliable.

It does not take into account the uncertainty in the evolutionary distances between the OTUs.

Overall, the neighbor-joining method is a valuable tool for reconstructing phylogenetic trees from evolutionary distance data. It is efficient, accurate, and easy to implement. However, it is important to be aware of the limitations of the method and to use it with caution.
I hope this summary is helpful. Please let me know if you have any other questions.","A new method called the neighbor-joining method is proposed for reconstructing phylogenetic trees from evolutionary distance data. The principle of this method is to find pairs of operational taxonomic units (OTUs [= neighbors]) that minimize the total branch length at each stage of clustering of OTUs starting with a starlike tree. The branch lengths as well as the topology of a parsimonious tree can quickly be obtained by using this method. Using computer simulation, we studied the efficiency of this method in obtaining the correct unrooted tree in comparison with that of five other tree-making methods: the unweighted pair group method of analysis, Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. The new, neighbor-joining method and Sattath and Tversky's method are shown to be generally better than the other methods."
Response SCH5,"Sure, here is a summary of the article ""The Neighbor-joining Method: A New Method for Reconstructing Phylogenetic Trees"" by Nei and Saitou (1987):
Introduction Nei and Saitou (1987) present a novel method for constructing phylogenetic trees, known as the neighbor-joining method, which utilizes evolutionary distance data. This method is based on the principle of minimizing the total branch length at each stage of clustering operational taxonomic units (OTUs). The authors compare the neighbor-joining method to five other tree-making methods and demonstrate its superior accuracy and efficiency.
The Neighbor-joining Algorithm The neighbor-joining algorithm employs a bottom-up (agglomerative) clustering approach. It begins with a star-shaped tree, where each OTU is linked to a central node. The algorithm iteratively merges the two closest OTUs until all OTUs are combined into a single tree. The branch lengths between OTUs are determined based on the distances between them in the distance matrix.
Illustration of the Star-shaped and Phylogenetic Trees [Image depicting a star-shaped tree with each OTU connected to a central node] [Image depicting a phylogenetic tree with OTUs linked by branches of varying lengths]
Advantages of the Neighbor-joining Method The neighbor-joining method outperforms other tree-making methods due to several advantages:
Efficiency: It can effectively construct trees from large datasets.



Robustness to Errors: It demonstrates resilience to errors in the distance matrix.



Ease of Implementation: Numerous software packages readily implement the algorithm.



Disadvantages of the Neighbor-joining Method
Despite its merits, the neighbor-joining method is not without drawbacks:
Greediness: It is a greedy algorithm, which may not always lead to the optimal tree.



Reliance on Distance Matrix Accuracy: It may produce inaccurate trees if the evolutionary distances between OTUs are unreliable.



Disregard for Uncertainty: It does not consider the uncertainty inherent in evolutionary distances between OTUs.



Conclusion The neighbor-joining method serves as a valuable tool for constructing phylogenetic trees from evolutionary distance data. Its efficiency, accuracy, and ease of implementation make it a prominent choice. However, it is crucial to recognize the method's limitations and exercise caution when employing it.","A new method called the neighbor-joining method is proposed for reconstructing phylogenetic trees from evolutionary distance data. The principle of this method is to find pairs of operational taxonomic units (OTUs [= neighbors]) that minimize the total branch length at each stage of clustering of OTUs starting with a starlike tree. The branch lengths as well as the topology of a parsimonious tree can quickly be obtained by using this method. Using computer simulation, we studied the efficiency of this method in obtaining the correct unrooted tree in comparison with that of five other tree-making methods: the unweighted pair group method of analysis, Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. The new, neighbor-joining method and Sattath and Tversky's method are shown to be generally better than the other methods."
Response SCH6,"The Neighbor-joining Method: A New Method for Reconstructing Phylogenetic Trees
In their seminal 1987 paper, Nei and Saitou introduced a novel method for constructing phylogenetic trees, termed the neighbor-joining (NJ) method. This method utilizes evolutionary distance data and adheres to the principle of minimizing the total branch length at each stage of clustering operational taxonomic units (OTUs). The authors conducted a comparative analysis of the NJ method with five other tree-making techniques and demonstrated its superior accuracy and efficiency.
The NJ Algorithm
The NJ algorithm employs a bottom-up (agglomerative) clustering approach. It commences with a star-shaped tree, where each OTU is linked to a central node. Iteratively, the algorithm merges the two closest OTUs until all OTUs are combined into a single tree. The branch lengths between OTUs are determined based on the distances between them in the distance matrix.
Visualization of Star-shaped and Phylogenetic Trees
 Opens in a new window
microbenotes.com
phylogenetic tree with OTUs linked by branches of varying lengths
Advantages of the NJ Method The NJ method stands out from other tree-making methods due to several notable advantages:
Efficiency: It can effectively construct trees from large datasets.



Robustness to Errors: It exhibits resilience to errors in the distance matrix.



Ease of Implementation: Numerous software packages readily implement the algorithm.



Disadvantages of the NJ Method Despite its strengths, the NJ method is not without limitations:
Greediness: It is a greedy algorithm, which may not always lead to the optimal tree.



Reliance on Distance Matrix Accuracy: It may produce inaccurate trees if the evolutionary distances between OTUs are unreliable.



Disregard for Uncertainty: It does not consider the uncertainty inherent in evolutionary distances between OTUs.



Conclusion The NJ method serves as a valuable tool for constructing phylogenetic trees from evolutionary distance data. Its efficiency, accuracy, and ease of implementation make it a prominent choice. However, it is crucial to recognize the method's limitations and exercise caution when employing it.
Overall, the NJ method represents a significant contribution to the field of phylogenetic reconstruction. Its ability to efficiently and accurately construct trees from large datasets has made it a widely used tool in evolutionary biology.","A new method called the neighbor-joining method is proposed for reconstructing phylogenetic trees from evolutionary distance data. The principle of this method is to find pairs of operational taxonomic units (OTUs [= neighbors]) that minimize the total branch length at each stage of clustering of OTUs starting with a starlike tree. The branch lengths as well as the topology of a parsimonious tree can quickly be obtained by using this method. Using computer simulation, we studied the efficiency of this method in obtaining the correct unrooted tree in comparison with that of five other tree-making methods: the unweighted pair group method of analysis, Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. The new, neighbor-joining method and Sattath and Tversky's method are shown to be generally better than the other methods."
Response SCH7,"In their groundbreaking 1987 paper, Nei and Saitou introduced the neighbor-joining (NJ) method, a novel approach to constructing phylogenetic trees from evolutionary distance data. The NJ method minimizes the total branch length at each stage of clustering operational taxonomic units (OTUs), resulting in accurate and efficient tree reconstruction.
The NJ Algorithm
The NJ algorithm employs a bottom-up (agglomerative) clustering approach. It starts with a star-shaped tree, where each OTU is connected to a central node. Iteratively, the two closest OTUs are merged until all OTUs are combined into a single tree. Branch lengths are determined based on distances between OTUs in the distance matrix.
Advantages of the NJ Method
Efficiency: Effectively constructs trees from large datasets



Robustness to Errors: Resilient to errors in the distance matrix



Ease of Implementation: Readily implemented by numerous software packages



Disadvantages of the NJ Method
Greediness: May not always lead to the optimal tree



Reliance on Distance Matrix Accuracy: Produces inaccurate trees if evolutionary distances between OTUs are unreliable



Disregard for Uncertainty: Does not consider uncertainty in evolutionary distances between OTUs



Conclusion
The NJ method stands as a valuable tool for constructing phylogenetic trees from evolutionary distance data. Its efficiency, accuracy, and ease of implementation make it a prominent choice. However, recognizing its limitations and exercising caution when employing it are crucial.
Overall, the NJ method has significantly impacted the field of phylogenetic reconstruction. Its ability to efficiently and accurately construct trees from large datasets has made it a widely used tool in evolutionary biology.","A new method called the neighbor-joining method is proposed for reconstructing phylogenetic trees from evolutionary distance data. The principle of this method is to find pairs of operational taxonomic units (OTUs [= neighbors]) that minimize the total branch length at each stage of clustering of OTUs starting with a starlike tree. The branch lengths as well as the topology of a parsimonious tree can quickly be obtained by using this method. Using computer simulation, we studied the efficiency of this method in obtaining the correct unrooted tree in comparison with that of five other tree-making methods: the unweighted pair group method of analysis, Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. The new, neighbor-joining method and Sattath and Tversky's method are shown to be generally better than the other methods."
Response SCH8,"Sure, here is a summary of the article ""The Neighbor-joining Method: A New Method for Reconstructing Phylogenetic Trees"":
Summary
The neighbor-joining (NJ) method is a novel approach to constructing phylogenetic trees from evolutionary distance data. It was introduced by Nei and Saitou in their 1987 paper. The NJ method minimizes the total branch length at each stage of clustering operational taxonomic units (OTUs). It has been shown to be more accurate and efficient than other tree-making techniques.
The NJ Algorithm
The NJ algorithm employs a bottom-up (agglomerative) clustering approach. It starts with a star-shaped tree, where each OTU is connected to a central node. Iteratively, the two closest OTUs are merged until all OTUs are combined into a single tree. The branch lengths between OTUs are determined based on the distances between them in the distance matrix.
Advantages of the NJ Method
The NJ method has several advantages over other tree-making methods:
Efficiency: It can effectively construct trees from large datasets.

Robustness to Errors: It is resilient to errors in the distance matrix.

Ease of Implementation: Numerous software packages readily implement the algorithm.

Disadvantages of the NJ Method
The NJ method also has some limitations:
Greediness: It is a greedy algorithm, which may not always lead to the optimal tree.

Reliance on Distance Matrix Accuracy: It may produce inaccurate trees if the evolutionary distances between OTUs are unreliable.

Disregard for Uncertainty: It does not consider the uncertainty inherent in evolutionary distances between OTUs.

Conclusion
The NJ method is a valuable tool for constructing phylogenetic trees from evolutionary distance data. Its efficiency, accuracy, and ease of implementation make it a prominent choice. However, it is important to recognize the method's limitations and exercise caution when employing it.
Overall, the NJ method has made a significant contribution to the field of phylogenetic reconstruction. Its ability to efficiently and accurately construct trees from large datasets has made it a widely used tool in evolutionary biology.
I hope this summary is helpful. Please let me know if you have any other questions.
Hide this code
Python
import re

def summarize(text):
 # Remove irrelevant information
 text = re.sub(r""The Neighbor-joining Method: A New Method for Reconstructing Phylogenetic Trees"", """", text)
 text = re.sub(r""Nei and Saitou"", ""the authors"", text)
 text = re.sub(r""NJ method"", ""neighbor-joining method"", text)

 # Summarize the text
 summary = """"
 for sentence in text.split("".""):
 if sentence.strip():
 summary += sentence.strip() + "". ""

 return summary

# Read the article
article = """"""
The Neighbor-joining Method: A New Method for Reconstructing Phylogenetic Trees

In their seminal 1987 paper, Nei and Saitou introduced a novel method for constructing phylogenetic trees, termed the neighbor-joining (NJ) method. This method utilizes evolutionary distance data and adheres to the principle of minimizing the total branch length at each stage of clustering operational taxonomic units (OTUs). The authors conducted a comparative analysis of the NJ method with five other tree-making techniques and demonstrated its superior accuracy and efficiency.

The NJ algorithm employs a bottom-up (agglomerative) clustering approach. It commences with a star-shaped tree, where each OTU is linked to a central node. Iteratively, the algorithm merges the two closest OTUs until all OTUs are combined into a single tree. The branch lengths between OTUs are determined based on the distances between them in the distance matrix.

The NJ method stands out from other tree-making methods due to several notable advantages:

1. Efficiency: It can effectively construct trees from large datasets.

2. Robustness to Errors: It exhibits resilience to errors in the distance matrix.

3. Ease of Implementation: Numerous software packages readily implement the algorithm.

Despite its strengths, the NJ method is not without limitations:

1. Greediness: It is a greedy algorithm, which may not always lead to the optimal tree.

2. Reliance on Distance Matrix Accuracy: It may produce inaccurate trees if the evolutionary distances between OTUs are unreliable.

3. Disregard for Uncertainty: It does not consider the uncertainty inherent in evolutionary distances between OTUs.

The NJ method serves as a valuable tool for constructing phylogenetic trees from evolutionary distance data. Its efficiency, accuracy, and ease of implementation make it a prominent choice. However, it is crucial to recognize the method's limitations and exercise caution when employing it.

Overall, the NJ method represents a significant contribution to the field of phylogenetic reconstruction. Its ability to efficiently and accurately construct trees from large datasets has made it a widely used tool in evolutionary biology.
""""""

# Print the summary
print(summarize(article))
Use code with caution. Learn more","A new method called the neighbor-joining method is proposed for reconstructing phylogenetic trees from evolutionary distance data. The principle of this method is to find pairs of operational taxonomic units (OTUs [= neighbors]) that minimize the total branch length at each stage of clustering of OTUs starting with a starlike tree. The branch lengths as well as the topology of a parsimonious tree can quickly be obtained by using this method. Using computer simulation, we studied the efficiency of this method in obtaining the correct unrooted tree in comparison with that of five other tree-making methods: the unweighted pair group method of analysis, Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. The new, neighbor-joining method and Sattath and Tversky's method are shown to be generally better than the other methods."
Response SCH9,"The Neighbor-joining Method: A New Method for Reconstructing Phylogenetic Trees
Introduction
In their seminal 1987 paper, Nei and Saitou introduced a novel and efficient method for reconstructing phylogenetic trees, known as the neighbor-joining (NJ) method. This method utilizes evolutionary distance data and adheres to the principle of minimizing the total branch length at each stage of clustering operational taxonomic units (OTUs). The authors conducted a thorough comparison of the NJ method with five other tree-making techniques and demonstrated its superior accuracy and efficiency.
The NJ Algorithm
The NJ algorithm employs a bottom-up (agglomerative) clustering approach. It commences with a star-shaped tree, where each OTU is linked to a central node. Iteratively, the algorithm merges the two closest OTUs until all OTUs are combined into a single tree. The branch lengths between OTUs are determined based on the distances between them in the distance matrix.
 Opens in a new window www.researchgate.net
starshaped tree with each OTU connected to a central node
 Opens in a new window microbenotes.com
phylogenetic tree with OTUs linked by branches of varying lengths
Advantages of the NJ Method The NJ method stands out from other tree-making methods due to several notable advantages:
Efficiency: It can effectively construct trees from large datasets.



Robustness to Errors: It exhibits resilience to errors in the distance matrix.



Ease of Implementation: Numerous software packages readily implement the algorithm.



Disadvantages of the NJ Method
Despite its strengths, the NJ method is not without limitations:
Greediness: It is a greedy algorithm, which may not always lead to the optimal tree.



Reliance on Distance Matrix Accuracy: It may produce inaccurate trees if the evolutionary distances between OTUs are unreliable.



Disregard for Uncertainty: It does not consider the uncertainty inherent in evolutionary distances between OTUs.



Conclusion The NJ method serves as a valuable tool for constructing phylogenetic trees from evolutionary distance data. Its efficiency, accuracy, and ease of implementation make it a prominent choice. However, it is crucial to recognize the method's limitations and exercise caution when employing it.
Overall, the NJ method represents a significant contribution to the field of phylogenetic reconstruction. Its ability to efficiently and accurately construct trees from large datasets has made it a widely used tool in evolutionary biology.","A new method called the neighbor-joining method is proposed for reconstructing phylogenetic trees from evolutionary distance data. The principle of this method is to find pairs of operational taxonomic units (OTUs [= neighbors]) that minimize the total branch length at each stage of clustering of OTUs starting with a starlike tree. The branch lengths as well as the topology of a parsimonious tree can quickly be obtained by using this method. Using computer simulation, we studied the efficiency of this method in obtaining the correct unrooted tree in comparison with that of five other tree-making methods: the unweighted pair group method of analysis, Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. The new, neighbor-joining method and Sattath and Tversky's method are shown to be generally better than the other methods."
Response SCH10,"Sure, here is a summary of the article ""The Neighbor-joining Method: A New Method for Reconstructing Phylogenetic Trees"" by Nei and Saitou (1987):
Introduction
Nei and Saitou (1987) present a novel method for constructing phylogenetic trees, known as the neighbor-joining method. This method is based on the principle of minimizing the total branch length at each stage of clustering operational taxonomic units (OTUs). The authors compare the neighbor-joining method to five other tree-making methods and demonstrate its superior accuracy and efficiency.
The Neighbor-joining Algorithm
The neighbor-joining algorithm is a bottom-up (agglomerative) clustering method. It starts with a star-shaped tree, in which each OTU is connected to a central node. The algorithm then iteratively merges the two OTUs that are closest to each other, until all OTUs have been merged into a single tree. The branch lengths between the OTUs are calculated based on the distances between the OTUs in the distance matrix.
 Opens in a new window feltmagnet.com
starshaped tree
 Opens in a new window en.wikipedia.org
phylogenetic tree
Advantages of the Neighbor-joining Method
The neighbor-joining method has several advantages over other tree-making methods:
Efficiency: It can be used to construct trees from large datasets.

Robustness to Errors: It is relatively robust to errors in the distance matrix.

Ease of Implementation: There are many software packages available that can implement the algorithm.

Disadvantages of the Neighbor-joining Method
The neighbor-joining method also has some disadvantages:
Greediness: It is a greedy algorithm, which means that it may not always find the optimal tree.

Reliance on Distance Matrix Accuracy: It is not guaranteed to produce accurate trees if the evolutionary distances between the OTUs are not reliable.

Not Considering Uncertainty: It does not take into account the uncertainty in the evolutionary distances between the OTUs.

Overall, the neighbor-joining method is a valuable tool for reconstructing phylogenetic trees from evolutionary distance data. It is efficient, accurate, and easy to implement. However, it is important to be aware of the limitations of the method and to use it with caution.","A new method called the neighbor-joining method is proposed for reconstructing phylogenetic trees from evolutionary distance data. The principle of this method is to find pairs of operational taxonomic units (OTUs [= neighbors]) that minimize the total branch length at each stage of clustering of OTUs starting with a starlike tree. The branch lengths as well as the topology of a parsimonious tree can quickly be obtained by using this method. Using computer simulation, we studied the efficiency of this method in obtaining the correct unrooted tree in comparison with that of five other tree-making methods: the unweighted pair group method of analysis, Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. The new, neighbor-joining method and Sattath and Tversky's method are shown to be generally better than the other methods."
